RA;Código_Turma;Nome_Disciplina
11202022138;SAD-LCNE;DBBIS0005-15SA Bases Computacionais da Ciência B-Matutino (Santo André)
11202022138;SAD-LCNE;DBBIJ0207-15SA Bases Conceituais da Energia B-Matutino (Santo André)
11202022138;SAD-LCNE;DBBIQ0602-15SA Estrutura e Dinâmica Social B-Matutino (Santo André)
11202022138;SAD-LCNE;DBNHZ5016-15SA História da Educação B-Matutino (Santo André)
11202022138;SAD-LCNE;DBNHI5011-13SA Políticas Educacionais B-Matutino (Santo André)
11202022138;SAD-LCNE;DBNHZ2099-16SA Tópicos contemporâneos em Educação e Filosofia B-Matutino (Santo André)
11202021624;SAD-LCNE;DABIS0005-15SA Bases Computacionais da Ciência A-Matutino (Santo André)
11202021624;SAD-LCNE;DABIJ0207-15SA Bases Conceituais da Energia A-Matutino (Santo André)
11202021624;SAD-LCNE;DABIQ0602-15SA Estrutura e Dinâmica Social A-Matutino (Santo André)
11202021624;SAD-LCNE;DA1NHZ5016-15SA História da Educação A1-Matutino (Santo André)
11202021624;SAD-LCNE;DA1NHI5011-13SA Políticas Educacionais A1-Matutino (Santo André)
11202021624;SAD-LCNE;DA1NHZ2099-16SA Tópicos contemporâneos em Educação e Filosofia A1-Matutino (Santo André)
11202021539;SAD-LCNE;DBBIS0005-15SA Bases Computacionais da Ciência B-Matutino (Santo André)
11202021539;SAD-LCNE;DBBIJ0207-15SA Bases Conceituais da Energia B-Matutino (Santo André)
11202021539;SAD-LCNE;DBBIQ0602-15SA Estrutura e Dinâmica Social B-Matutino (Santo André)
11202021539;SAD-LCNE;DBNHZ5016-15SA História da Educação B-Matutino (Santo André)
11202021539;SAD-LCNE;DBNHI5011-13SA Políticas Educacionais B-Matutino (Santo André)
11202021539;SAD-LCNE;DBNHZ2099-16SA Tópicos contemporâneos em Educação e Filosofia B-Matutino (Santo André)
11202021150;SAD-LCNE;DABIS0005-15SA Bases Computacionais da Ciência A-Matutino (Santo André)
11202021150;SAD-LCNE;DABIJ0207-15SA Bases Conceituais da Energia A-Matutino (Santo André)
11202021150;SAD-LCNE;DABIQ0602-15SA Estrutura e Dinâmica Social A-Matutino (Santo André)
11202021150;SAD-LCNE;DA1NHZ5016-15SA História da Educação A1-Matutino (Santo André)
11202021150;SAD-LCNE;DA1NHI5011-13SA Políticas Educacionais A1-Matutino (Santo André)
11202021150;SAD-LCNE;DA1NHZ2099-16SA Tópicos contemporâneos em Educação e Filosofia A1-Matutino (Santo André)
11202021712;SAD-LCNE;DBBIS0005-15SA Bases Computacionais da Ciência B-Matutino (Santo André)
11202021712;SAD-LCNE;DBBIJ0207-15SA Bases Conceituais da Energia B-Matutino (Santo André)
11202021712;SAD-LCNE;DBBIQ0602-15SA Estrutura e Dinâmica Social B-Matutino (Santo André)
11202021712;SAD-LCNE;DBNHZ5016-15SA História da Educação B-Matutino (Santo André)
11202021712;SAD-LCNE;DBNHI5011-13SA Políticas Educacionais B-Matutino (Santo André)
11202021712;SAD-LCNE;DBNHZ2099-16SA Tópicos contemporâneos em Educação e Filosofia B-Matutino (Santo André)
11202022139;SAD-LCNE;DABIS0005-15SA Bases Computacionais da Ciência A-Matutino (Santo André)
11202022139;SAD-LCNE;DABIJ0207-15SA Bases Conceituais da Energia A-Matutino (Santo André)
11202022139;SAD-LCNE;DABIQ0602-15SA Estrutura e Dinâmica Social A-Matutino (Santo André)
11202022139;SAD-LCNE;DA1NHZ5016-15SA História da Educação A1-Matutino (Santo André)
11202022139;SAD-LCNE;DA1NHI5011-13SA Políticas Educacionais A1-Matutino (Santo André)
11202022139;SAD-LCNE;DA1NHZ2099-16SA Tópicos contemporâneos em Educação e Filosofia A1-Matutino (Santo André)
11202020642;SAD-LCNE;DABIS0005-15SA Bases Computacionais da Ciência A-Matutino (Santo André)
