RA;Código_Turma;Nome_Disciplina
11002112;DA1LIE0001-19SA;Metodologias de Pesquisa em Educação A1-Matutino (Santo André)
11002112;DA1NHI5011-13SA;Políticas Educacionais A1-Matutino (Santo André)
11202130002;DA1BIR0603-15SB;Ciência, Tecnologia e Sociedade A1-Matutino (São Bernardo)
11202130002;DANHZ1024-15SA;Etnofarmacologia A-Matutino (Santo André)
11202130002;DA1MCTC019-20SB;Neurobiologia Molecular e Celular A1-Matutino (São Bernardo)
11202130002;DA1MCZC016-15SB;Neurociência da Cognição Musical A1-Matutino (São Bernardo)
11202130002;DA1MCTC022-15SB;Processamento de Sinais Neurais A1-Matutino (São Bernardo)
11202112038;NA2MCTB001-17SA;Álgebra Linear
11202112038;NA4BCL0306-15SA;Biodiversidade: Interações entre organismos e ambiente
11202112038;NA1BIL0304-15SA;Evolução e Diversificação da Vida na Terra
11202112038;NA1NHZ5016-15SA;História da Educação
11201921240;NA2MCTB001-17SA;Álgebra Linear
11201921240;NA3BCJ0203-15SA;Fenômenos Eletromagnéticos
11201921240;NA2BCN0405-15SA;Introdução às Equações Diferenciais Ordinárias
21077113;NA1MCTD023-18SA;Fundamentos de Análise
21077113;NA1NHI5011-13SB;Políticas Educacionais
21077113;NAMCTA017-17SA;Programação Matemática
11202021033;NA1BCN0407-15SA;Funções de Várias Variáveis
11202130004;DB1BIR0603-15SA;Ciência, Tecnologia e Sociedade B1-Matutino (Santo André)
11202130004;DB1BCN0405-15SA;Introdução às Equações Diferenciais Ordinárias B1-Matutino (Santo André)
11202130004;DANHI2049-13SA;Lógica Básica A-Matutino (Santo André)
11202130004;DA2MCTA028-15SA;Programação Estruturada A2-Matutino (Santo André)
11202111469;DA1BIS0003-15SB;Bases Matemáticas A1-Matutino (São Bernardo)
11202111469;DA1ESHR030-21SB;Estudos Estratégicos e Defesa A1-Matutino (São Bernardo)
11202111469;DA1ESHR006-13SB;Formação Histórica da América Latina A1-Matutino (São Bernardo)
11202111469;DA1ESHR026-14SB;História do Terceiro Mundo A1-Matutino (São Bernardo)
11202111469;DA1ESHR017-21SB;Organizações Internacionais e Multilateralismo A1-Matutino (São Bernardo)
11202111469;DA1ESHR025-14SB;Política Externa Brasileira Contemporânea A1-Matutino (São Bernardo)
11202231396;NB1BIS0003-15SB;Bases Matemáticas
11202231396;NA1BCM0506-15SB;Comunicação e Redes
11202231396;NA1BIN0406-15SB;Introdução à Probabilidade e à Estatística
11202231396;NA1BHS0008-23SB;Práticas Comunitárias em campo
11201721638;NAMCTC014-13SA;Introdução à Inferência Estatística
11201721638;NA1MCTB022-17SA;Sequências e Séries
11201721638;NA1MCTB023-17SA;Teoria Aritmética dos Números
11202321699;DA3BCL0306-15SA;Biodiversidade: Interações entre organismos e ambiente A3-Matutino (Santo André)
11202321699;DA4BCJ0204-15SA;Fenômenos Mecânicos A4-Matutino (Santo André)
11202321699;DA2BCN0402-15SA;Funções de Uma Variável A2-Matutino (Santo André)
11202321699;DA3BCN0404-15SA;Geometria Analítica A3-Matutino (Santo André)
11202321699;DA3BCM0504-15SA;Natureza da Informação A3-Matutino (Santo André)
11202130357;DA1BIR0603-15SA;Ciência, Tecnologia e Sociedade A1-Matutino (Santo André)
11202130357;DA1MCTC007-20SB;Comunicação Científica A1-Matutino (São Bernardo)
11202130357;DA1MCTC019-20SB;Neurobiologia Molecular e Celular A1-Matutino (São Bernardo)
11202130357;DA1MCZC016-15SB;Neurociência da Cognição Musical A1-Matutino (São Bernardo)
