RA;Código_Turma;Nome_Disciplina
11202230632;DAMCTC009-15SB;PROGRESSOS E MÉTODOS EM NEUROCIÊNCIA
11202321689;NA1ESZR033-21SB;RELAÇÕES INTERNACIONAIS E ARTE
11202320230;DA1MCZA030-17SA;VIDA ARTIFICIAL NA COMPUTAÇÃO
11202321485;NB1BHO1102-19SB;INTRODUÇÃO À ECONOMIA
11202510090;NB1BHO1102-19SB;INTRODUÇÃO À ECONOMIA
11202021610;NA1ESTO013-17SA;ENGENHARIA ECONÔMICA
11202130276;NA1NHZ2093-16SA;CORPO, SEXUALIDADE E QUESTÕES DE GÊNERO
11202111296;DA1ESAE002-23SA;DESENHO UNIVERSAL E TECNOLOGIA ASSISTIVA
11202420863;NB1BCJ0205-15SA;FENÔMENOS TÉRMICOS
11202420722;NB4BIS0003-15SA;BASES MATEMÁTICAS
11202422105;NB1BIN0406-15SA;INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA
11202020766;DA1BCK0104-15SA;INTERAÇÕES ATÔMICAS E MOLECULARES
11202021365;DA1ESTO004-17SA;INSTRUMENTAÇÃO E CONTROLE
11202130588;DA1ESZG036-17SB;CONCEITOS DE MARKETING
11202421247;DA2BIN0406-15SB;INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA
11202230663;NA1ESHC026-21SB;MICROECONOMIA II
11202130738;NA1MCTC014-13SB;INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA
11202130440;NA1NHZ6001-18SA;FUNDAMENTOS DA BIOTECNOLOGIA
11201921152;NA2MCTA025-13SA;SISTEMAS DISTRIBUÍDOS
11201921818;NA1ESZB022-17SA;INTRODUÇÃO À BIOINFORMÁTICA
11202131206;DA2BCN0405-15SA;INTRODUÇÃO ÀS EQUAÇÕES DIFERENCIAIS ORDINÁRIAS
11202020054;DA2ESTO006-17SA;MATERIAIS E SUAS PROPRIEDADES
11202111177;DA1MCCC015-23SA;PROGRAMAÇÃO FUNCIONAL
11201812368;NA1BHS0012-23SB;TEMAS FILOSÓFICOS EM DEBATE
11201920187;NA1ESZU025-17SA;EDUCAÇÃO AMBIENTAL
11202020898;NA1ESTS006-17SB;LABORATÓRIO DE GUIAGEM, NAVEGAÇÃO E CONTROLE
11202420749;NA11BIS0005-15SA;BASES COMPUTACIONAIS DA CIÊNCIA
11202130601;NAESTA018-17SA;ELETROMAGNETISMO APLICADO
11202420952;DA1BIN0406-15SB;INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA
11202421512;NB2MCTB019-17SA;MATEMÁTICA DISCRETA
11202420531;DA4BIK0102-15SA;ESTRUTURA DA MATÉRIA
11202020237;NA2ESHC037-21SB;ECONOMETRIA III
11202230632;DAMCTC001-15SB;INTRODUÇÃO À FILOSOFIA DA MENTE
11202510032;NA1ESZB022-17SA;INTRODUÇÃO À BIOINFORMÁTICA
11202420684;DAESTA014-17SA;SISTEMAS CAD/CAM
11202131444;NC1BCS0001-15SA;BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS
11202421777;DB2ESMA001-23SA;SOLUÇÕES PARA DESAFIOS EM ENGENHARIA
11202322132;NA1ESHC012-21SB;ECONOMIA INSTITUCIONAL
11202322132;DA1ESHC032-17SB;MACROECONOMIA II
11202131447;DAMCTC001-15SB;INTRODUÇÃO À FILOSOFIA DA MENTE
11201723006;NA1NHLQ002-22SA;PRÁTICAS DE ENSINO DE QUÍMICA I
13201910009;NA1ESTO012-17SB;PRINCÍPIOS DE ADMINISTRAÇÃO
11202020726;NA1ESHC026-21SB;MICROECONOMIA II
11202332358;DA1NHZ1074-15SA;ASTROBIOLOGIA
11202320781;NA4BCJ0205-15SA;FENÔMENOS TÉRMICOS
11202021063;NA1ESTU031-17SA;RECUPERAÇÃO DE ÁREAS DEGRADADAS
11202320621;NA1NHZ6001-18SA;FUNDAMENTOS DA BIOTECNOLOGIA
11202421427;DA1NHZ6001-18SA;FUNDAMENTOS DA BIOTECNOLOGIA
11201723224;NA1BHO0102-15SB;DESENVOLVIMENTO E SUSTENTABILIDADE
11202130977;NA1ESTO008-17SA;MECÂNICA DOS SÓLIDOS I
11202321971;NA1ESTO012-17SB;PRINCÍPIOS DE ADMINISTRAÇÃO
11202112047;DA1ESHT012-17SB;MOBILIZAÇÃO PRODUTIVA DOS TERRITÓRIOS E DESENVOLVIMENTO LOCAL
11202020175;DA1ESZG010-17SB;PLANEJAMENTO E CONTROLE DE PROJETOS
11202321879;NA1ESZR033-21SB;RELAÇÕES INTERNACIONAIS E ARTE
11202231823;NA1ESTO013-17SA;ENGENHARIA ECONÔMICA
11202410073;NA1BHO0102-15SB;DESENVOLVIMENTO E SUSTENTABILIDADE
11202320915;DAMCTC001-15SB;INTRODUÇÃO À FILOSOFIA DA MENTE
11202321863;DA1NHZ6001-18SA;FUNDAMENTOS DA BIOTECNOLOGIA
11202322031;NA1ESTO011-17SA;FUNDAMENTOS DE DESENHO TÉCNICO
11202111720;NA1ESHP007-13SB;FEDERALISMO E POLÍTICAS PÚBLICAS
11202421116;DA1ESTO005-17SB;INTRODUÇÃO ÀS ENGENHARIAS
11202322250;DA1BIK0102-15SB;ESTRUTURA DA MATÉRIA
11202021529;NA1ESHC012-21SB;ECONOMIA INSTITUCIONAL
21040515;NA2BHQ0003-15SB;INTERPRETAÇÕES DO BRASIL
11202022027;NA1ESHC907-18SB;MONOGRAFIA I - TÉCNICAS DE PESQUISA EM ECONOMIA
11202321587;DA1ESZS004-17SB;AVIÔNICA
11202230842;NA1ESTO001-17SB;CIRCUITOS ELÉTRICOS E FOTÔNICA
11202321909;DA1BHQ0003-15SB;INTERPRETAÇÕES DO BRASIL
11202230759;DA1MCTA003-17SA;ANÁLISE DE ALGORITMOS
11202232200;NA1NHZ2093-16SA;CORPO, SEXUALIDADE E QUESTÕES DE GÊNERO
11202321271;NA1ESTO013-17SB;ENGENHARIA ECONÔMICA
11202321271;NA2ESTG014-17SB;PLANEJAMENTO E CONTROLE DA PRODUÇÃO
11202420369;NC1ESTO005-17SA;INTRODUÇÃO ÀS ENGENHARIAS
11202130682;NA1NHZ2093-16SA;CORPO, SEXUALIDADE E QUESTÕES DE GÊNERO
11202420219;ND3BCS0001-15SA;BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS
11201723109;DA1ESTO016-17SB;FENÔMENOS DE TRANSPORTE
11201723109;DA1ESTO008-17SB;MECÂNICA DOS SÓLIDOS I
11202420150;DA4BIK0102-15SA;ESTRUTURA DA MATÉRIA
11202321673;DA1NHLB002-23SA;PRÁTICAS DE ENSINO DE BIOLOGIA E APRENDIZAGEM
11202210050;NC1LCT1001-24SA;ESTÁGIO I NO ENSINO FUNDAMENTAL
11202321818;DB1ESTO011-17SA;FUNDAMENTOS DE DESENHO TÉCNICO
