RA;Código_Turma;Nome_Disciplina
11000116 NA2MCTA027-17SA;Teoria dos Grafos A2-Noturno (Santo André);
11000315 NA1ESTI005-17SA;Sinais Aleatórios A1-Noturno (Santo André);
11000315 NA1MCTA008-17SA;Computação Gráfica A1-Noturno (Santo André);
11000315 NA1MCTA017-17SA;Programação Matemática A1-Noturno (Santo André);
11000315 NA1MCTA025-13SA;Sistemas Distribuídos A1-Noturno (Santo André);
11000316 DA1ESZU018-17SA;Tópicos Especiais em Engenharia Ambiental e Urbana A1-Matutino (Santo André);
11000316 NA1ESTU011-17SA;Planejamento Urbano e Metropolitano A1-Noturno (Santo André);
11000417 NA1ESTG005-17SB;Engenharia Econômica Aplicada a Sistemas de Gestão A1-Noturno (São Bernardo);
11000417 NA1MCZC021-20SB;Neuropsicologia A1-Noturno (São Bernardo);
11000417 Na1MCZC008-13SB;Neuroarte a1-Noturno (São Bernardo);
11000514 DA1MCTB001-17SA;Álgebra Linear A1-Matutino (Santo André);
11000515 DA1MCTA014-15SA;Inteligência Artificial A1-Matutino (Santo André);
11000515 DA1NHI2049-13SA;Lógica Básica A1-Matutino (Santo André);
11000515 DA1NHI5001-15SA;Desenvolvimento e Aprendizagem A1-Matutino (Santo André);
11000515 NA1MCTA025-13SA;Sistemas Distribuídos A1-Noturno (Santo André);
11000516 NA1MCZA030-17SA;Vida Artificial na Computação A1-Noturno (Santo André);
11000617 DA1ESTG006-17SB;Engenharia Laboral A1-Matutino (São Bernardo);
11000617 DA1ESTG011-17SB;Estatística Aplicada a Sistemas de Gestão A1-Matutino (São Bernardo);
11000617 Da1ESTG019-17SB;Tempos, Métodos e Arranjos Físicos a1-Matutino (São Bernardo);
11000617 NA1BHS0002-17SB;Diálogos Interdisciplinares A1-Noturno (São Bernardo);
11000617 Na1ESTG020-17SB;Sistemas e Processos de Produção a1-Noturno (São Bernardo);
11001113 DB3BCJ0205-15SA;Fenômenos Térmicos B3-Matutino (Santo André);
11001113 NA2BCN0407-15SA;Funções de Várias Variáveis A2-Noturno (Santo André);
11001113 NB1BIN0406-15SA;Introdução à Probabilidade e à Estatística B1-Noturno (Santo André);
11001116 NB1NHT3069-15SA;Mecânica Clássica II B1-Noturno (Santo André);
11001214 NC1NHT5013-15SA;Práticas de Ensino de Ciências e Matemática no Ensino Fundamental C1-Noturno (Santo André);
11001216 NA1MCTB011-17SA;Equações Diferenciais Ordinárias A1-Noturno (Santo André);
11001216 NA1MCTB017-13SA;Geometria Diferencial II A1-Noturno (Santo André);
11001216 NA1MCTB026-17SA;Topologia A1-Noturno (Santo André);
11001316 NA1ESTG014-17SB;Planejamento e Controle da Produção A1-Noturno (São Bernardo);
11001316 NA1ESTU011-17SA;Planejamento Urbano e Metropolitano A1-Noturno (Santo André);
11001316 Na1ESTG023-17SB;Organização do Trabalho a1-Noturno (São Bernardo);
11001415 NA1BCN0407-15SB;Funções de Várias Variáveis A1-Noturno (São Bernardo);
11001515 NA1MCZA030-17SA;Vida Artificial na Computação A1-Noturno (Santo André);
11001515 NA2MCTA002-17SA;Algoritmos e Estruturas de Dados II A2-Noturno (Santo André);
11001515 NA2MCTA004-17SA;Arquitetura de Computadores A2-Noturno (Santo André);
11001515 NA2MCTA027-17SA;Teoria dos Grafos A2-Noturno (Santo André);
11001515 NA2MCTA037-17SA;Banco de Dados A2-Noturno (Santo André);
11001716 DA1NHZ3094-22SA;História da Física no Brasil A1-Matutino (Santo André);
11001716 DB2NHT5013-15SA;Práticas de Ensino de Ciências e Matemática no Ensino Fundamental B2-Matutino (Santo André);
11001910 DA1ESZI035-17SA;Introdução ao Processamento de Sinais de Voz e Áudio A1-Matutino (Santo André);
11002112 DB1BHP0202-19SB;Temas e Problemas em Filosofia B1-Matutino (São Bernardo);
11002112 NA1BHO1335-15SB;Formação do Sistema Internacional A1-Noturno (São Bernardo);
11002215 DA1NHZ5019-15SA;Tecnologias da Informação e Comunicação na Educação A1-Matutino (Santo André);
11002216 NA1MCTB002-13SA;Álgebra Linear Avançada I A1-Noturno (Santo André);
11002216 NA1MCTB017-13SA;Geometria Diferencial II A1-Noturno (Santo André);
11002216 NA1MCTB026-17SA;Topologia A1-Noturno (Santo André);
11002216 NA1MCZB028-13SA;Processos Estocásticos A1-Noturno (Santo André);
11002216 NB1ESTA005-17SA;Análise de Sistemas Dinâmicos Lineares B1-Noturno (Santo André);
11002411 NA2ESTO004-17SB;Instrumentação e Controle A2-Noturno (São Bernardo);
11002412 NA1ESTI016-17SA;Fundamentos de Fotônica A1-Noturno (Santo André);
11002508 DA1ESZG013-17SB;Empreendedorismo A1-Matutino (São Bernardo);
11002508 DA1MCTB001-17SB;Álgebra Linear A1-Matutino (São Bernardo);
11002508 NA1ESTG005-17SB;Engenharia Econômica Aplicada a Sistemas de Gestão A1-Noturno (São Bernardo);
11002508 NA1ESTG014-17SB;Planejamento e Controle da Produção A1-Noturno (São Bernardo);
11002508 Na1ESTG023-17SB;Organização do Trabalho a1-Noturno (São Bernardo);
11002508 Nb2ESTO012-17SB;Princípios de Administração b2-Noturno (São Bernardo);
11002515 NA1MCTB002-13SA;Álgebra Linear Avançada I A1-Noturno (Santo André);
11002515 NA1MCTB026-17SA;Topologia A1-Noturno (Santo André);
11002515 NA1MCTD010-18SA;História da Matemática A1-Noturno (Santo André);
11002515 NA2MCTA017-17SA;Programação Matemática A2-Noturno (Santo André);
11002606 NA1ESTI013-17SA;Sistemas Microprocessados A1-Noturno (Santo André);
11002613 NA1MCTA017-17SA;Programação Matemática A1-Noturno (Santo André);
11002613 NA1MCTA027-17SA;Teoria dos Grafos A1-Noturno (Santo André);
11002616 DA1MCTA004-17SA;Arquitetura de Computadores A1-Matutino (Santo André);
11002713 DA1ESZM016-17SA;Síntese de Polímeros A1-Matutino (Santo André);
11002914 NA1ESTA008-17SB;Sistemas de Controle II A1-Noturno (São Bernardo);
11002914 NB1ESTS001-17SB;Dinâmica I B1-Noturno (São Bernardo);
11002914 Na1ESTS008-17SB;Vibrações a1-Noturno (São Bernardo);
11002915 NA1ESZU016-17SA;Questões Ambientais Globais A1-Noturno (Santo André);
11002916 NA1ESTM002-17SA;Tópicos Experimentais em Materiais I A1-Noturno (Santo André);
11002916 NA1ESTM010-17SA;Propriedades Mecânicas e Térmicas A1-Noturno (Santo André);
11002916 NA1ESZM037-17SA;Processamento de Polímeros A1-Noturno (Santo André);
11003116 DA4MCTA028-15SA;Programação Estruturada A4-Matutino (Santo André);
11003116 DB1ESTO008-17SA;Mecânica dos Sólidos I B1-Matutino (Santo André);
11003116 DB3BCN0405-15SA;Introdução às Equações Diferenciais Ordinárias B3-Matutino (Santo André);
11003116 DB8BCJ0203-15SA;Fenômenos Eletromagnéticos B8-Matutino (Santo André);
11003314 DA1ESTS012-17SB;Aeroelasticidade A1-Matutino (São Bernardo);
11003314 NA1ESZA007-17SB;Confiabilidade de Componentes e Sistemas A1-Noturno (São Bernardo);
11003316 NA1ESHP022-14SB;Cultura Política A1-Noturno (São Bernardo);
11003316 Na1ESHC002-17SB;Contabilidade Básica a1-Noturno (São Bernardo);
11003515 DA1MCZC011-15SB;Tomada de Decisões e Neuroeconomia A1-Matutino (São Bernardo);
11003515 NA1MCTC024-15SB;Neuroetologia A1-Noturno (São Bernardo);
11003516 NB1ESZG006-17SB;Pesquisa Operacional Aplicada B1-Noturno (São Bernardo);
11003614 NA1MCTD023-18SA;Fundamentos de Análise A1-Noturno (Santo André);
11003614 NA1MCZB028-13SA;Processos Estocásticos A1-Noturno (Santo André);
11003614 NB1ESTA005-17SA;Análise de Sistemas Dinâmicos Lineares B1-Noturno (Santo André);
11003814 NA1ESZM027-17SA;Materiais para Energia e Ambiente A1-Noturno (Santo André);
11003816 NA1ESZU019-17SA;Transportes e Meio Ambiente A1-Noturno (Santo André);
11003816 NB1BCS0002-15SA;Projeto Dirigido B1-Noturno (Santo André);
11003914 NA1ESHP018-14SB;Políticas Sociais A1-Noturno (São Bernardo);
11004112 NA1NHI2049-13SA;Lógica Básica A1-Noturno (Santo André);
11004112 NB1MCTA028-15SA;Programação Estruturada B1-Noturno (Santo André);
11004214 DA1ESTS012-17SB;Aeroelasticidade A1-Matutino (São Bernardo);
11004214 DA1ESZS019-17SB;Aerodinâmica II A1-Matutino (São Bernardo);
11004214 NA1ESTA008-17SB;Sistemas de Controle II A1-Noturno (São Bernardo);
11004214 NA1ESTS018-17SB;Transferência de Calor Aplicada a Sistemas Aeroespaciais A1-Noturno (São Bernardo);
11004214 NA1ESZS021-17SB;Sistemas de Propulsão II A1-Noturno (São Bernardo);
11004214 NIESZS035-17SB;Dinâmica de Fluidos Computacional I-Noturno (São Bernardo);
11004313 Na1MCZC001-20SB;Doenças do Sistema Nervoso a1-Noturno (São Bernardo);
11004316 DA1MCTD021-18SA;Fundamentos de Álgebra A1-Matutino (Santo André);
11004415 DA1NHZ5019-15SA;Tecnologias da Informação e Comunicação na Educação A1-Matutino (Santo André);
