RA;Código_Turma;Nome_Disciplina
11202231396;NA1BHO0001-19SB;INTRODUCAO AS HUMANIDADES E AS CIENCIAS SOCIAIS
11202231396;NA1BHP0202-19SB;TEMAS E PROBLEMAS EM FILOSOFIA
11202231396;NA1BHQ0001-15SB;IDENTIDADE E CULTURA
11202231396;NA1BHQ0003-15SB;INTERPRETACOES DO BRASIL
11202231396;NA2BIQ0602-15SB;ESTRUTURA E DINAMICA SOCIAL
11202231396;NA4BIS0005-15SB;BASES COMPUTACIONAIS DA CIENCIA
11202230325;NC1BIJ0207-15SA;BASES CONCEITUAIS DA ENERGIA
11202230325;NC1BIK0102-15SA;ESTRUTURA DA MATERIA
11202230325;NC1BIL0304-15SA;EVOLUCAO E DIVERSIFICACAO DA VIDA NA TERRA
11202230325;NC1BIS0003-15SA;BASES MATEMATICAS
11202230325;NC2BCS0001-15SA;BASE EXPERIMENTAL DAS CIENCIAS NATURAIS
11202230325;NC6BIS0005-15SA;BASES COMPUTACIONAIS DA CIENCIA
11202230271;DA1BCS0001-15SA;BASE EXPERIMENTAL DAS CIENCIAS NATURAIS
11202230271;DA1BIJ0207-15SA;BASES CONCEITUAIS DA ENERGIA
11202230271;DA1BIK0102-15SA;ESTRUTURA DA MATERIA
11202230271;DA1BIL0304-15SA;EVOLUCAO E DIVERSIFICACAO DA VIDA NA TERRA
11202230271;DA1BIS0003-15SA;BASES MATEMATICAS
11202230271;DA2BIS0005-15SA;BASES COMPUTACIONAIS DA CIENCIA
11202212398;NB1BCS0001-15SA;BASE EXPERIMENTAL DAS CIENCIAS NATURAIS
11202212398;NB1BIJ0207-15SA;BASES CONCEITUAIS DA ENERGIA
11202212398;NB1BIK0102-15SA;ESTRUTURA DA MATERIA
11202212398;NB1BIL0304-15SA;EVOLUCAO E DIVERSIFICACAO DA VIDA NA TERRA
11202212398;NB1BIS0003-15SA;BASES MATEMATICAS
11202212398;NB1BIS0005-15SA;BASES COMPUTACIONAIS DA CIENCIA
